filename,width,height,class,xmin,ymin,xmax,ymax
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,447,495,476,521
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,644,264,727,369
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,696,219,779,318
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,671,183,709,225
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,678,412,736,466
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,492,681,527,720
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,507,679,558,720
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,402,617,431,645
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,645,56,678,91
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,668,64,708,103
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,666,29,706,72
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,661,4,705,42
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,517,104,539,127
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,524,85,547,108
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,541,84,565,110
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,535,98,555,122
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,522,246,564,289
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,794,452,811,471
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,892,305,912,324
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,878,304,898,325
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,858,307,875,323
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,235,445,276,482
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,514,276,538,307
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,501,282,528,313
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,106,89,129,114
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,229,201,261,244
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,210,220,245,253
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,211,243,237,269
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,71,175,117,229
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,47,151,95,209
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,9,114,79,185
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,13,165,58,231
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,64,217,106,256
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,44,199,93,257
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,116,77,138,102
tomates_2020-08-06-11-35-15_side_0131.jpg,1280,720,Tomato,91,78,120,104
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,748,458,816,537
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,484,442,542,513
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,231,671,329,720
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,426,482,454,515
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,288,344,353,423
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,290,185,317,215
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1049,285,1145,399
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1026,404,1096,474
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1056,385,1121,457
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,959,338,1033,430
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,887,453,921,491
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1252,105,1276,130
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1148,176,1188,213
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,986,0,1037,47
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1020,2,1063,46
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1012,26,1066,92
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1172,302,1212,345
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1228,448,1263,482
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1223,429,1259,466
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1205,457,1234,485
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1205,432,1234,464
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1212,566,1254,610
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1228,588,1266,628
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,1249,594,1280,644
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,919,468,951,500
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,940,601,1037,691
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,249,292,340,412
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,299,0,373,86
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,314,53,374,125
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,271,42,334,113
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,639,229,712,319
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,563,250,634,346
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,524,313,596,386
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,525,385,597,461
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,314,628,339,660
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,301,618,330,651
tomates_2020-08-06-11-35-15_side_0242.jpg,1280,720,Tomato,515,445,574,512
tomates_2020-08-06-11-35-15_side_0216.jpg,1280,720,Tomato,888,579,916,611
tomates_2020-08-06-11-35-15_side_0216.jpg,1280,720,Tomato,22,575,120,678
